model_DE,model,study,country,parameter,site,mean.d,SD.d,total.d,mean.c,SD.c,total.c
CD25KO mice,CD25KO mice,Bunney 2017,Hangzhou,IFN-γ,corneal,2.9,0.01,6,1,0.1,6
CD25KO mice,CD25KO mice,Bunney 2017,Hangzhou,IL-12,corneal,9,1,6,0.5,1,6
CD25KO mice,CD25KO mice,Bunney 2017,Hangzhou,IL-17A,corneal,8,0.1,6,0.5,1,6
CD25KO mice,CD25KO mice,Bunney 2017,Hangzhou,IL-1β,corneal,3,0.1,6,1,0.1,6
CD25KO mice,CD25KO mice,Bunney 2017,Hangzhou,IL-23,corneal,1,0.2,6,0.5,0.2,6
CD25KO mice,CD25KO mice,Bunney 2017,Hangzhou,MHC II,corneal,3,0.01,6,1,0.1,6
CD25KO mice,CD25KO mice,Bunney 2017,Hangzhou,TNF-α,corneal,2.8,0.1,6,1,0.1,6
C57BL/6 mice,SI mice,chauhan 2009,Boston,IL-17,conjunctiva,2.5,0.5,5,1,0.1,5
C57BL/6 mice,SI mice,chauhan 2009,Boston,IL-6,conjunctiva,1.3,0.05,5,1,0.1,5
C57BL/6 mice,DS mice,chen 2013,Wenzhou,IL-17,conjunctiva,28,5,3,1,0.1,3
C57BL/6 mice,DS mice,chen 2013,Wenzhou,IL-1β,conjunctiva,8.7,2,3,1,0.1,3
C57BL/6 mice,DS mice,chen 2013,Wenzhou,IL-6,conjunctiva,11,1,3,1,0.1,3
C57BL/6 mice,DS mice,chen 2013,Wenzhou,TNF-α,conjunctiva,9,1,3,1,0.1,3
C57BL/6 mice,SI mice,chen 2014,Shanghai,IL-1β,conjunctiva,757.73,23.74,3,353.6,26.36,3
C57BL/6 mice,SI mice,chen 2014,Shanghai,TNF-α,conjunctiva,9717,704.32,3,1066,106.59,3
Aire mice,Aire mice,Chen 2017,San Francisco,CD4 T cells,corneal,10.17,0.92,3,0.2,0.13,3
Aire mice,Aire mice,chen 2018,Boston,CD4 T cells,conjunctiva,8.66,2.99,4,1,0.1,4
C57BL/6 mice,DS mice,Chen and chauhan 2017,Boston,IL-15,conjunctiva,100,20,5,45,5,5
C57BL/6 mice,DS mice,Chen and chauhan 2017,Boston,IL-17,conjunctiva,40,10,5,1,0.1,5
C57BL/6 mice,DS mice,Chen and chauhan 2017,Boston,TH17 cells,conjunctiva,3.9,0.5,5,0.3,0.1,5
C57BL/6 mice,SI mice,choi 2016,Gwangju,CD4 T cells,conjunctiva ,65.76,10.47,10,22.54,3.74,10
C57BL/6 mice,SI mice,choi 2016,Gwangju,IFN-γ,conjunctiva ,78,10,10,21,2,10
C57BL/6 mice,SI mice,choi 2016,Gwangju,IL-1β,conjunctiva ,100,20,10,50,5,10
C57BL/6 mice,SI mice,choi 2016,Gwangju,IL-6,conjunctiva ,30,2,10,19,3,10
C57BL/6 mice,SI mice,choi 2016,Gwangju,TNF-α,conjunctiva ,15,3,10,3.5,0.1,10
Albino rabbit,BAC_albino,choi 2019,Gwangju,IFN-γ,conjunctiva ,120,20,6,10,20,6
